text,label
"I am calling from SBI fraud department, tell me the OTP to block the fraudulent transaction. Failure to provide the code now will result in your card being blocked.",OTP Scam
I received my refund from an online store today.,Safe
"Paid the Meesho bill through PhonePe, order confirmed.",Safe
"Hi, transaction cancel karne ke liye OTP zaruri hai, turant share karein",OTP Scam
"reminder: We need the verification code to process your refund, plz share it!!!",OTP Scam
"Congratulations! As part of our festival celebrations, your number was chosen among thousands of participants to win a brand new car. To process your prize, a small registration and tax fee is required. Plz visit [LINK] to complete the claim process before the offer expires.",Lottery Scam
Your KYC verification has expired. Pls update it today itself to avoid account suspension.,KYC Scam
"heads up: as per rbi guidelines, your bank of baroda account kyc must be updated in the next 1 hour using the link below: [link] 🚨",KYC Scam
Just so you know - The mutual fund SIP got auto-debited from my account today.,Safe
"FYI - Meesho refund approved, verify bank info now.",Refund Scam
"courier deliver nahi hua, refund lene ke liye [link] pe details bhariye",Refund Scam
"CONGRATULATIONS! AS PART OF OUR FESTIVAL CELEBRATIONS, YOUR NUMBER WAS CHOSEN AMONG THOUSANDS OF PARTICIPANTS TO WIN A BRAND NEW CAR. TO PROCESS YOUR PRIZE, A SMALL REGISTRATION AND TAX FEE IS REQUIRED. PLEASE VISIT [LINK] TO COMPLETE THE CLAIM PROCESS BEFORE THE OFFER EXPIRES.",Lottery Scam
"refund stuck, share otp to release it",Refund Scam
"⚠️ Just so you know - For KYC completion, please provide the one-time password sent to your registered mobile. If the OTP is not shared immediately, we cannot stop the unauthorized debit",OTP Scam
"ok so, Your payment could not be verified. Approve the request on BHIM UPI to confirm the transaction.",UPI Scam
Let's finalize the guest list for the housewarming party.,Safe
Share the code with me and I'll process your pending refund right away,OTP Scam
"Just so you know - just share the code u got, will sort the refund in 2 mins",OTP Scam
"Work from home, ₹10,000/day, DM to apply!!!",Fake Job
You have received a payment request of ₹500 on Google Pay. Approve it to receive the money.,UPI Scam
"✅ aapko ₹10,000 ka collect request aaya hai, accept kar lijiye paise milenge",UPI Scam
"MADAM BIJLI BILL KA REFUND AANA HAI, UPI ID CONFIRM KAR DIJIYE ✅",Refund Scam
"Heads up: Work from home, [AMOUNT]/day, DM to apply.",Fake Job
"You have received a payment request of ₹1,200 on Paytm. Approve it to receive the money.",UPI Scam
"sir aapka resume shortlist hua hai, ₹1,200 deposit karke apna task account activate karein",Fake Job
"Hi, Your account access has been temporarily restricted due to a security check. Kindly re-verify yr account information to continue using our services. Regards, [BANK] Security Team",Phishing
"heyy u won ₹2,500 in our lucky draw, msg us on [PHONE] to claim it",Lottery Scam
"Work from home, [AMOUNT]/day, DM to apply!!!",Fake Job
"Quick update: quick, accept the request i sent, its ur cashback of ₹99",UPI Scam
"The plumber fixed the leak, everything's working fine now!!!",Safe
"btw, Your electricity bill refund of [AMOUNT] is pending, share your account number to process it.",Refund Scam
"hey ur Amazon refund of ₹15,000 is ready, just confirm ur bank details here [LINK].",Refund Scam
"Dear applicant, thank you for your interest in our organization. We are pleased to inform you that you have been selected for a work-from-home position involving simple online tasks. To activate your employee ID and receive your first task, kindly deposit a refundable amount of ₹799, which will be returned along with your first salary!!!",Fake Job
"Your courier could not be delivered and a refund of ₹3,300 is due. Share your UPI ID at [LINK]. 💰",Refund Scam
"Your SIM card KYC needs re-verification, or your services may be disconnected within 30 minutes!!!",KYC Scam
"Action needed: your session expired, log in again [LINK]",Phishing
"badhai ho! aap ₹2,500 ke voucher ke winner hain, [LINK] pe claim karein",Lottery Scam
aapka [BANK] account secure karne ke liye code batana padega,OTP Scam
"I found a great recipe for dinner tonight, want to try it?",Safe
HEADS UP: YOUR GOOGLE PAY ACCOUNT SHOWS A PENDING TRANSACTION. APPROVE IT NOW TO AVOID CANCELLATION.,UPI Scam
"the recruiter's email came from the official company domain, so I trust it.",Safe
"Dear winner, we are delighted to inform you that your mobile number has been randomly selected in our nationwide lucky draw promotion. You have won a cash prize of ₹1,999. To claim your winnings, kindly contact our claims department at [PHONE] and provide your bank details for the prize transfer.",Lottery Scam
Your BHIM UPI account shows a pending transaction. Approve it now to avoid cancellation.,UPI Scam
