text,label
"Never share your OTP with anyone, even if they claim to be bank staff.",Safe
Do not approve a UPI collect request that you did not create yourself.,Safe
Your refund has already been processed and no further action is required.,Safe
Use the official banking app to complete your KYC instead of following links in messages.,Safe
Bank security teams will never ask for your PIN or OTP over a call.,Safe
Your KYC reminder is available inside the official app. No action is required through SMS.,Safe
I received my refund yesterday and confirmed it in the merchant's official app.,Safe
"Please ignore unsolicited messages asking for passwords, OTPs, or card details.",Safe
The bank app shows that my UPI payment was completed successfully.,Safe
Your account statement is available in the official mobile banking application.,Safe
Never scan an unknown QR code to receive money.,Safe
Customer support advised me not to disclose my verification code.,Safe
The official website says my KYC is valid until next year.,Safe
I checked the refund status directly in the shopping app.,Safe
"An OTP arrived for a transaction I did not initiate, so I did not share it.",Safe
Please report suspicious payment requests instead of approving them.,Safe
The bank's official app notified me about a routine security update.,Safe
I completed KYC at the branch using the bank's official process.,Safe
Your salary has been credited to your account.,Safe
"Meeting moved to 5 PM, please join on the usual link.",Safe
"Bhai OTP mat dena, bank wale kabhi OTP nahi maangte.",Safe
"UPI collect request unknown hai, isliye maine reject kar diya.",Safe
"Refund aa gaya hai, app mein transaction history check kar lo.",Safe
Do not click links in unexpected bank messages; open the official app directly.,Safe
The courier company delivered my package today.,Safe
Your card statement is ready in the official banking app.,Safe
I called the bank using the number printed on my card.,Safe
The bank confirmed that the suspicious message was not from them.,Safe
Never provide CVV details to someone over the phone.,Safe
"Your transaction failed, but the bank app says no money was deducted.",Safe
I updated the official banking application from the app store.,Safe
Your account password was changed successfully through the official website.,Safe
I received a normal payment receipt from the merchant.,Safe
Please send me the lecture notes when you are free.,Safe
The project deadline has been extended to Friday.,Safe
I will meet you near the metro station at 6 PM.,Safe
Family dinner is planned for Sunday.,Safe
Your college fee receipt is available in the student portal.,Safe
Do not send money to strangers who contact you on social media.,Safe
An official support agent told me to visit the branch for identity verification.,Safe
I checked the KYC status directly through the bank's official website.,Safe
The payment was reversed automatically according to the merchant receipt.,Safe
I did not approve the unexpected UPI request.,Safe
Your refund will appear according to the merchant's standard processing time.,Safe
Security advice: banks do not ask customers to disclose OTPs.,Safe
Use the official customer-care number printed on your card.,Safe
The delivery agent called to confirm the address only.,Safe
Your account notification can be viewed inside the official banking app.,Safe
I received a genuine transaction alert after paying at the store.,Safe
Your KYC is incomplete and must be renewed immediately through this verification page.,KYC Scam
Your account may be suspended unless you complete KYC today using the supplied link.,KYC Scam
Re-KYC is urgently required. Submit your Aadhaar details through the attached page.,KYC Scam
Your wallet KYC has expired. Update your identity information now to avoid restrictions.,KYC Scam
Complete KYC within two hours or your account services will be blocked.,KYC Scam
Your PAN verification failed. Re-submit your KYC details through this message.,KYC Scam
Urgent compliance notice: confirm your identity through the provided KYC portal.,KYC Scam
Your banking profile is pending verification. Upload your documents immediately.,KYC Scam
Account freeze warning: complete KYC through the link before midnight.,KYC Scam
Your customer profile needs re-verification. Use the page below to update KYC.,KYC Scam
