text,label
Reminder: your electricity bill is due on the 18th. Pay through the official app if needed.,Safe
Your bank statement for July is now available in the official mobile banking app.,Safe
"Please do not share your OTP, PIN, CVV, or password with anyone, even if they claim to be from the bank.",Safe
"I received the books you sent. Thanks, I'll return them after the weekend.",Safe
Your appointment with the service centre is confirmed for Tuesday at 11 AM.,Safe
The payment was completed successfully. No further action is required.,Safe
Never approve a UPI collect request unless you created it yourself.,Safe
Your monthly salary has been credited. Check your account through your normal banking channel.,Safe
The parcel is scheduled for delivery tomorrow between 2 PM and 5 PM.,Safe
We have received your support request and will reply through the official customer portal.,Safe
Your subscription will renew next month. Manage it from the app if you want to change the plan.,Safe
The college timetable has been updated. Please check the student portal for the new schedule.,Safe
I am running late for class; please save me a seat.,Safe
Your refund has been processed and should appear in your account according to the merchant's normal refund timeline.,Safe
"For account security, banks advise customers never to disclose OTPs over phone calls.",Safe
The train ticket has been booked successfully. Your ticket is available in the railway app.,Safe
Your credit card statement is ready. Review it using the official banking application.,Safe
Meeting moved to 4:30 PM today. Please join through the usual calendar invite.,Safe
The official app is asking me to update its version before I can continue.,Safe
Thanks for helping with the project. I'll send the presentation tonight.,Safe
"Hey, I'm helping with your bank verification. Send me the six digits that just arrived.",OTP Scam
Your transaction is stuck; read the verification code to me so I can complete it.,OTP Scam
"Bhai OTP forward kar de, payment approve nahi ho raha.",OTP Scam
Tell me the code from the SMS right now or the transfer will fail.,OTP Scam
I am from support. Please dictate the OTP you received to verify your account.,OTP Scam
Share the number in your latest message and I'll finish the refund for you.,OTP Scam
Your verification code has arrived. Send it here so we can confirm the request.,OTP Scam
Urgent: provide the OTP from your phone to prevent cancellation of the transaction.,OTP Scam
"Mujhe jo six digit code aaya hai woh bhej do, account verify karna hai.",OTP Scam
Send the code you received; the system needs it before your payment can go through.,OTP Scam
Your bank has generated an OTP for this request. Reply with the code to continue.,OTP Scam
Please tell me the one-time password that was just delivered to your phone.,OTP Scam
Verification is pending. Give me the OTP and I'll activate the service.,OTP Scam
"Don't delay, send the SMS code now or your order refund will be cancelled.",OTP Scam
"Bhai jo OTP aaya hai screenshot bhej de, verification complete karni hai.",OTP Scam
I need the code from your phone to confirm that you are the account holder.,OTP Scam
Share the latest OTP with our agent for immediate transaction confirmation.,OTP Scam
"Sir OTP bata dijiye, bina code ke refund release nahi hoga.",OTP Scam
A code was sent to your mobile. Reply with those digits to finish the security check.,OTP Scam
Send the OTP privately and your pending payment will be completed.,OTP Scam
Your banking profile needs KYC renewal today. Use this message's verification page to avoid interruption.,KYC Scam
KYC is supposedly overdue on your wallet; complete the verification immediately through the supplied page.,KYC Scam
"Sir your account review is pending, upload your identity documents now or access may stop.",KYC Scam
Aadhaar verification is required urgently. Finish the KYC process using the link we sent.,KYC Scam
Your digital wallet may be restricted unless you complete the requested KYC update today.,KYC Scam
Bank records show incomplete KYC. Confirm your details through the attached verification route.,KYC Scam
KYC deadline is tonight. Update your identity information immediately to keep services active.,KYC Scam
Your account compliance check failed. Re-submit your KYC information using the provided link.,KYC Scam
"Bhai KYC update kar de abhi, warna banking service band ho jayegi.",KYC Scam
Your PAN verification needs attention. Complete the KYC request before the stated deadline.,KYC Scam
We could not verify your customer profile. Use the supplied page to submit KYC again.,KYC Scam
