text,label
I received my refund from an online store today.,Safe
"Paid the Meesho bill through PhonePe, order confirmed.",Safe
"FYI - Meesho refund approved, verify bank info now.",Refund Scam
"⚠️ Just so you know - For KYC completion, please provide the one-time password sent to your registered mobile. If the OTP is not shared immediately, we cannot stop the unauthorized debit",OTP Scam
"Just so you know - just share the code u got, will sort the refund in 2 mins",OTP Scam
"Heads up: Work from home, [AMOUNT]/day, DM to apply.",Fake Job
"Action needed: your session expired, log in again [LINK]",Phishing
"Dear winner, we are delighted to inform you that your mobile number has been randomly selected in our nationwide lucky draw promotion. You have won a cash prize of ₹1,999. To claim your winnings, kindly contact our claims department at [PHONE] and provide your bank details for the prize transfer.",Lottery Scam
"Sir, aapka account temporarily hold pe hai, verify kijiye yahan [LINK]",Phishing
"just so you know - dear winner, we are delighted to inform you that your mobile number has been randomly selected in our nationwide lucky draw promotion. you have won a cash prize of ₹799. to claim your winnings, kindly contact our claims department at [phone] and provide your bank details for the prize transfer.",Lottery Scam
"To claim your cashback of ₹1,200, accept the collect request sent to your UPI ID!!!",UPI Scam
"Sir, To claim your cashback of ₹15,000, accept the collect request sent to your UPI ID.",UPI Scam
"Btw, hii ur kyc is pending pls update asap or ur acc will b blocked [LINK] ❗",KYC Scam
"send otp fast, refund waiting!!!",OTP Scam
"Hello, Your online banking session was flagged for review. Update your details immediately to avoid permanent suspension. This must be completed by tonight. - Axis Bank Alerts",Phishing
"❗ Action required — ur card access will be suspended within 30 minutes, resolve at [LINK].",Phishing
"as per RBI guidelines, your [BANK] account KYC must be updated today itself using the link below: [LINK]",KYC Scam
"⚠️ Btw, Security notice: confirm identity now — [LINK]",Phishing
"👉 just share the code u got, will sort the refund in 2 mins",OTP Scam
"Congrats, you've won a smartphone! Click [LINK]. 👉",Lottery Scam
madam aadhaar kyc update na karne par account block ho jayega 👉,KYC Scam
"YOUR MERCHANT TRANSACTION OF ₹10,000 IS SHOWING AS PENDING ON OUR END. KINDLY APPROVE THE COLLECT REQUEST SENT TO YOUR REGISTERED UPI ID TO COMPLETE THE SETTLEMENT!!!",UPI Scam
"OK SO, SIR AAPKE ACCOUNT ME KISI AUR DEVICE SE LOGIN HUA HAI, TURANT VERIFY KARIYE [LINK] ❗",Phishing
"my KYC is due, so I'll visit the bank branch tomorrow.",Safe
"This is to inform you that you have won a scholarship prize of ₹2,500, share your bank details to receive it ✅",Lottery Scam
"yo ur sim kyc pending, will be deactivated if not done within 30 minutes",KYC Scam
⚠️ BHAI KYC UPDATE KRDO WARNA ACC BAND HO JAYEGA,KYC Scam
Your BHIM UPI transaction of ₹799 failed. Enter your PIN again to complete it!!!,UPI Scam
"Your mobile number has won a cash prize of ₹1,999 in the government digital India lucky draw!!!",Lottery Scam
"✅ Dear winner, we are delighted to inform you that your mobile number has been randomly selected in our nationwide lucky draw promotion. You have won a cash prize of ₹4,999. To claim your winnings, kindly contact our claims department at [PHONE] and provide your bank details for the prize transfer",Lottery Scam
"heyy u won ₹10,000 in our lucky draw, msg us on [PHONE] to claim it",Lottery Scam
"We need the verification code to process ur refund, please share it. Failure to provide the code now will result in your card being blocked.",OTP Scam
Your payment could not be verified. Approve the request on your UPI app to confirm the transaction.,UPI Scam
"Good news! You are the winner of our shopping voucher worth ₹3,300, click [LINK] to redeem.",Lottery Scam
🚨 Yr [BANK] account will be blocked in the next 1 hour unless you verify via [LINK].,Phishing
"yo u got selected for ₹3,300 cash prize, hurry claim before it expires!!!",Lottery Scam
"hii congrats ur selected for online typing job, pay ₹1,999 registration to confirm seat!!!",Fake Job
"👉 PAN verifyy nahi hua hai, jaldi kyc complete karo warna account freeze ho jayega",KYC Scam
"This is regarding your pending income tax refund of ₹10,000. Our system was unable to verify your bank account details on file. Please update your information at [LINK] within 48 hours to avoid delay in receiving your refund!!!",Refund Scam
"THE KYC FORM AT THE BRANCH JUST NEEDED MY AADHAAR COPY AND A SIGNATURE, NOTHING ELSE",Safe
"Your income tax refund of ₹4,999 has been approved. Verify your bank details at [LINK] to recive the amount. 🚨",Refund Scam
"There's been a rise in fake KYC messages lately, please be careful b4 clicking any links.",Safe
Card temporarily on hold. Confirm details: [LINK],Phishing
"Quick update: For KYC completion, please provide the one-time password sent to your registered mobile.",OTP Scam
