text,label
"I am calling from SBI fraud department, tell me the OTP to block the fraudulent transaction. Failure to provide the code now will result in your card being blocked.",OTP Scam
"Hi, transaction cancel karne ke liye OTP zaruri hai, turant share karein",OTP Scam
"reminder: We need the verification code to process your refund, plz share it!!!",OTP Scam
"Congratulations! As part of our festival celebrations, your number was chosen among thousands of participants to win a brand new car. To process your prize, a small registration and tax fee is required. Plz visit [LINK] to complete the claim process before the offer expires.",Lottery Scam
Your KYC verification has expired. Pls update it today itself to avoid account suspension.,KYC Scam
"courier deliver nahi hua, refund lene ke liye [link] pe details bhariye",Refund Scam
"CONGRATULATIONS! AS PART OF OUR FESTIVAL CELEBRATIONS, YOUR NUMBER WAS CHOSEN AMONG THOUSANDS OF PARTICIPANTS TO WIN A BRAND NEW CAR. TO PROCESS YOUR PRIZE, A SMALL REGISTRATION AND TAX FEE IS REQUIRED. PLEASE VISIT [LINK] TO COMPLETE THE CLAIM PROCESS BEFORE THE OFFER EXPIRES.",Lottery Scam
"refund stuck, share otp to release it",Refund Scam
"ok so, Your payment could not be verified. Approve the request on BHIM UPI to confirm the transaction.",UPI Scam
Let's finalize the guest list for the housewarming party.,Safe
Share the code with me and I'll process your pending refund right away,OTP Scam
"Work from home, ₹10,000/day, DM to apply!!!",Fake Job
You have received a payment request of ₹500 on Google Pay. Approve it to receive the money.,UPI Scam
"✅ aapko ₹10,000 ka collect request aaya hai, accept kar lijiye paise milenge",UPI Scam
"You have received a payment request of ₹1,200 on Paytm. Approve it to receive the money.",UPI Scam
"heyy u won ₹2,500 in our lucky draw, msg us on [PHONE] to claim it",Lottery Scam
"Work from home, [AMOUNT]/day, DM to apply!!!",Fake Job
"Quick update: quick, accept the request i sent, its ur cashback of ₹99",UPI Scam
"The plumber fixed the leak, everything's working fine now!!!",Safe
"btw, Your electricity bill refund of [AMOUNT] is pending, share your account number to process it.",Refund Scam
"hey ur Amazon refund of ₹15,000 is ready, just confirm ur bank details here [LINK].",Refund Scam
"Dear applicant, thank you for your interest in our organization. We are pleased to inform you that you have been selected for a work-from-home position involving simple online tasks. To activate your employee ID and receive your first task, kindly deposit a refundable amount of ₹799, which will be returned along with your first salary!!!",Fake Job
"Your courier could not be delivered and a refund of ₹3,300 is due. Share your UPI ID at [LINK]. 💰",Refund Scam
"Your SIM card KYC needs re-verification, or your services may be disconnected within 30 minutes!!!",KYC Scam
"badhai ho! aap ₹2,500 ke voucher ke winner hain, [LINK] pe claim karein",Lottery Scam
"I found a great recipe for dinner tonight, want to try it?",Safe
"the recruiter's email came from the official company domain, so I trust it.",Safe
Your BHIM UPI account shows a pending transaction. Approve it now to avoid cancellation.,UPI Scam
"⚠️ Dear customer, as per our records ur recent order was cancelled and a refund of ₹4,999 is due to be credited to your account. To ensure the refund reaches the correct account, please confirm your bank details and registered mobile number through the secure link provided.",Refund Scam
"Quick update: You have received a payment request of ₹1,200 on BHIM UPI. Approve it to receive the money.",UPI Scam
Ur income tax refund of ₹500 has been approved. Verify your bank details at [LINK] to receive the amount.,Refund Scam
"it's good practice to verify any refund message directly through the official app, not links in SMS",Safe
"Dear Account Holder, We are unable to process your last request due to incomplete details. Click [LINK] to confirm it was you. This is a final reminder before suspension. - Online Banking Team",Phishing
"Dear Valued Customer, We are unable to process your last request due to incomplete details. Please re-enter your login details on the page linked below. Access will be permanently removed if not verified soon.",Phishing
"👉 hey the bank just sent u a code, what does it say? need it to fix ur account",OTP Scam
"hey ur the shopping site refund of ₹99 is ready, just confirm ur bank details here [link]",Refund Scam
"FYI - A refund of ₹25,000 is pending. Enter your UPI PIN to receive it",UPI Scam
"refund process karne ke liye otp chahiye, jaldi bata dijiye.",OTP Scam
can you drop the kids to school tomorrow morning?,Safe
MY [BANK] STATEMENT SHOWS THE SALARY CREDIT CAME IN ON THE 1ST AS USUAL.,Safe
card block hone se bachane ke liye code batao jaldi!!! ✅,OTP Scam
"Your refund is ready, confirm details at [LINK].",Refund Scam
"Kindly tell me the OTP to confirm your identity as per RBI guidelines. This is your last chance, share the OTP or the transaction will be reported as fraud.",OTP Scam
